province_code,province,province_id,year,Emissions_Tons,Poverty_Rate_Percent,Tax_Score,Tax_Rate,Tax_Rate_Rp_Per_Ton,Government_Revenue_Rp,Government_Revenue_Trillions,National_Total_Trillions,Contribution_Percent
32,Jawa Barat,32,2018,62070170.0,7.35,0.43858155608177185,65.7872314453125,65787.2314453125,4083424639639.8926,4.083424639639893,130.05684757562045,3.1397229102186412
32,Jawa Barat,32,2019,70406660.0,6.865,0.45585566759109497,68.37834930419922,68378.34930419922,4814291190821.991,4.814291190821991,166.97311581775486,2.8832732546457454
32,Jawa Barat,32,2020,108998030.0,8.155,0.48947492241859436,73.4212417602539,73421.2417602539,8002770712021.408,8.002770712021409,99.50137786527935,8.042874263366304
32,Jawa Barat,32,2021,242514232.00413227,7.598097573928534,0.6708926558494568,100.63389837741852,100633.89837741852,24405152578581.543,24.405152578581543,123.44367022788359,19.770274598550362
32,Jawa Barat,32,2022,128833524.42886353,7.055243587866425,0.5281552672386169,79.22329008579254,79223.29008579254,10206615678602.895,10.206615678602894,120.91342638475813,8.441259158535846
32,Jawa Barat,32,2023,222940275.58243394,6.975792382471263,0.6510709524154663,97.66064286231995,97660.64286231995,21772490633283.27,21.77249063328327,191.78496065498481,11.352553692909897
32,Jawa Barat,32,2024,421797476.9987893,5.711786218360066,0.9347817897796631,140.21726846694946,140217.26846694946,59143290071021.18,59.14329007102118,196.38567731566025,30.115887716168473
32,Jawa Barat,32,2025,257413372.60044813,6.445920525304972,0.6959429383277893,104.3914407491684,104391.4407491684,26871752833863.29,26.87175283386329,160.23309227791265,16.770413933756075
32,Jawa Barat,32,2026,182634473.83542895,6.522003867402672,0.6030619144439697,90.45928716659546,90459.28716659546,16520984315199.133,16.520984315199133,185.8465259730513,8.889584687525856
32,Jawa Barat,32,2027,263958608.77274513,6.183200348578393,0.705077588558197,105.76163828372955,105761.63828372955,27916694902899.555,27.916694902899554,247.10599362923398,11.297457618444774
32,Jawa Barat,32,2028,441096066.31796837,5.916456976830959,0.9478981494903564,142.18472242355347,142184.72242355347,62717121751541.664,62.71712175154166,277.70974505192873,22.583694979740173
32,Jawa Barat,32,2029,305168407.2024679,6.864536340534686,0.755511999130249,113.32679986953735,113326.79986953735,34583759009539.562,34.58375900953956,197.20083671833044,17.537328738080802
32,Jawa Barat,32,2030,281732629.9712658,6.761296369917691,0.724625289440155,108.69379341602325,108693.79341602325,30622588280649.688,30.622588280649687,197.01718290465732,15.543105341968522
33,Jawa Tengah,33,2010,41453840.0,16.56,0.2916851043701172,43.75276565551758,43752.76565551758,1813720147041.3208,1.813720147041321,78.1124105928088,2.321935955217206
33,Jawa Tengah,33,2011,64002840.0,15.76,0.3291929066181183,49.378936767578125,49378.936767578125,3160392189305.42,3.16039218930542,103.47364981626575,3.0542966203639375
33,Jawa Tengah,33,2012,82920630.0,15.16,0.3615013360977173,54.22520065307617,54225.20065307617,4496387800029.487,4.4963878000294875,78.72615407483158,5.711428244996618
