province,year,emisi_bersih_scaled,poverty_scaled,province_id
Kepulauan Bangka Belitung,2014,0.027555763358128038,0.051566481786838564,19
Kepulauan Bangka Belitung,2015,0.07017854289868515,0.050067456153500244,19
Kepulauan Bangka Belitung,2016,0.0093770150316448,0.05051716384350173,19
Kepulauan Bangka Belitung,2017,0.012388682818331614,0.054114825363513724,19
Kepulauan Bangka Belitung,2018,0.016159157262044883,0.04691950232348974,19
Kepulauan Bangka Belitung,2019,0.005130969936268807,0.03342827162344476,19
Kepulauan Bangka Belitung,2020,0.006669050959783225,0.03792534852345976,19
Kepulauan Riau,2010,0.002018200055057476,0.13806026083046022,21
Kepulauan Riau,2011,0.03132257260252026,0.11857292759706194,21
Kepulauan Riau,2012,0.007369810574550464,0.10568130715035227,21
Kepulauan Riau,2013,0.006544191308213853,0.08874231749362917,21
